Customer_ID,Customer_Name,Country,Year,Product_Category,Sub-Category,Profit
KH-16630,Ken Heidel,United States,2015,Technology,Phones,130.00
KL-16555,Kelly Lampkin,United States,2014,Office Supplies,Binders,-62.88
TH-21550,Tracy Hopkins,United States,2017,Technology,Phones,135.98
PB-19105,Peter Bhler,United States,2014,Office Supplies,Envelopes,204.07
GM-14680,Greg Matthias,United States,2016,Furniture,Bookcases,-26.20
FH-14275,Frank Hawley,United States,2017,Office Supplies,Paper,92.44
JP-15460,Jennifer Patt,United States,2017,Office Supplies,Binders,-9.16
JD-16015,Joy Daniels,United States,2014,Office Supplies,Binders,-8.68
BH-11710,Brosina Hoffman,United States,2014,Furniture,Tables,85.31
JS-15595,Ji Stevenson,United States,2014,Furniture,Bookcases,-199.00
TP-21565,Tracy P oddar,United States,2016,Furniture,Furnishings,-29.51
PF-19225,Phillip Flathmann,United States,2016,Technology,Accessories,29.03
BM-11650,Brian Moss,United States,2017,Technology,Accessories,355.00
NM-18520,Neoma Murray,United States,2015,Furniture,Furnishings,-4.01
CV-12805,Cynthia Voltz,United States,2017,Office Supplies,Labels,11.59
KH-16630,Ken Heidel,United States,2016,Office Supplies,Labels,5.70
DB-13210,Dean Braden,United States,2016,Technology,Accessories,-18.00
CM-12445,Chuck Magee,United States,2014,Office Supplies,Art,10.63
SG-20890,Susan Gilcrest,United States,2017,Office Supplies,Storage,0.67
LT-17110,Liz Thompson,United States,2016,Office Supplies,Paper,24.53
NP-18325,NA,United States,2015,Furniture,Furnishings,2.96
BH-11710,Brosina Hoffman,United States,2017,Office Supplies,Binders,-1.84
TB-21595,Troy Blackwell,United States,2014,Furniture,Furnishings,-11.32
LA-16780,Laura Armstrong,United States,2014,Furniture,Chairs,213.74
ML-17410,Maris LaWare,United States,2017,Furniture,Chairs,-42.90
NP-18325,NA,United States,2017,Office Supplies,Paper,41.82
AC-10660,Anna Chung,United States,2014,Office Supplies,Paper,2.89
AH-10120,Adrian Hane,United States,2017,Office Supplies,Paper,97.88
KN-16390,Katherine Nockton,United States,2017,Technology,Machines,36.18
ES-14080,Erin Smith,United States,2016,Office Supplies,Paper,18.21
EM-14140,Eugene Moren,United States,2016,Office Supplies,Art,3.97
MC-17845,Michael Chen,United States,2014,Office Supplies,Binders,50.41
HK-14890,Heather Kirkland,United States,2015,Furniture,Tables,160.18
DP-13000,Darren Powers,United States,2014,Furniture,Furnishings,-6.91
TN-21040,Tanja Norvell,United States,2016,Furniture,Tables,-814.48
EB-13750,Edward Becker,United States,2015,Furniture,Furnishings,3.86
GB-14575,Giulietta Baptist,United States,2015,Office Supplies,Paper,11.72
RW-19540,Rick Wi lson,United States,2017,Furniture,Chairs,7.46
MC-18100,Mick Crebagga,United States,2015,Office Supplies,Binders,-6.08
CL-12565,Clay Ludtke,United States,2016,Office Supplies,Storage,1.57
SV-20785,Stewart Visinsky,United States,2014,Office Supplies,Binders,-16.78
CM-12115,Chad McGuire,United States,2017,Office Supplies,Paper,36.02
BB-11545,Brenda Bowman,United States,2017,Technology,Phones,-8.00
LM-17065,Liz MacKendrick,United States,2015,Technology,Accessories,3.00
JG-15805,John Grady,United States,2014,Office Supplies,Storage,3.72
KH-16510,Keith Herrera,United States,2015,Furniture,Bookcases,-40.20
TB-21055,Ted Butterfield,United States,2016,Office Supplies,Paper,60.26
JL-15505,Jeremy Lonsdale,United States,2017,Furniture,Chairs,25.90
HL-15040,Hunter Lopez,United States,2016,Office Supplies,Envelopes,5.09
MG-17890,Michael Granlund,United States,2017,Office Supplies,Fasteners,0.65
NG-18355,Nat Gilpin,United States,2017,Technology,Phones,-92.70
AR-10825,Anthony Rawles,United States,2017,Office Supplies,Supplies,-81.73
ML-17395,Marina Lichtenstein,United States,2016,Technology,Accessories,29.00
TH-21100,Thea Hendricks,United States,2014,Furniture,Furnishings,9.67
GB-14530,Ge orge Bell,United States,2017,Office Supplies,Paper,22.54
MS-17770,Maxwell Schwartz,United States,2015,Technology,Phones,13.34
RF-19735,Roland Fjeld,United States,2016,Office Supplies,Paper,69.71
RW-19540,Rick Wi lson,United States,2015,Technology,Phones,23.10
GR-14560,Georgia Rosenberg,United States,2014,Office Supplies,Paper,6.22
SC-20770,Stewart Carmichael,United States,2016,Office Supplies,Appliances,56.20
PK-18910,Paul Knutson,United States,2016,Office Supplies,Binders,-760.98
AR-10510,Andrew Roberts,United States,2014,Technology,Phones,-10.12
HM-14860,Harry Marie,United States,2014,Office Supplies,Appliances,-12.98
MC-17845,Michael Chen,United States,2014,Office Supplies,Binders,152.50
LL-16840,Lauren Leatherbury,United States,2017,Office Supplies,Paper,8.76
AC-10660,Anna Chung,United States,2017,Office Supplies,Storage,-32.34
ON-18715,Odella Nelson,United States,2016,Furniture,Tables,-199.51
NF-18595,Nicole Fjeld,United States,2015,Office Supplies,Art,4.35
GH-14425,Gary Hwang,United States,2017,Technology,Accessories,43.60
DB-12970,Darren Budd,United States,2016,Furniture,Chairs,31.02
RF-19345,Randy Ferguson,United States,2014,Office Supplies,Binders,12.58
AP-10915,Arthur Prichep,United States,2016,Office Supplies,Appliances,12.29
SC-20020,Sam Craven,United States,2014,Technology,Machines,-97.72
EM-14140,Eugene Moren,United States,2017,Furniture,Chairs,9.97
JW-15220,Jane Waco,United States,2015,Furniture,Furnishings,13.19
SC-20095,Sanjit Chand,United States,2014,Technology,Accessories,6.30
DB-13660,Duane Benoit,United States,2017,Office Supplies,Binders,23.71
AG-10675,Anna Gayman,United States,2016,Office Supplies,Paper,32.47
RD-19720,Roger Demir,United States,2016,Office Supplies,Paper,13.45
HA-14920,Helen Andreada,United States,2016,Office Supplies,Paper,3.00
BD-11725,Bruce Degenhardt,United States,2017,Furniture,Bookcases,33.87
AP-10915,Arthur Prichep,United States,2016,Furniture,Tables,160.16
KM-16375,Katherine Murray,United States,2017,Furniture,Furnishings,16.32
WB-21850,William Brown,United States,2016,Office Supplies,Binders,39.87
TW-21025,Tamara Willingham,United States,2015,Furniture,Furnishings,12.23
EA-14035,Erin Ashbrook,United States,2014,Furniture,Furnishings,16.32
MH-17290,Marc Harrigan,United States,2014,Office Supplies,Art,6.21
CA-12265,Christina Anderson,United States,2015,Furniture,Tables,118.66
BK-11260,Berenike Kampe,United States,2014,Office Supplies,Storage,-8.35
AM-10705,Anne McFarland,United States,2014,Furniture,Chairs,481.47
KB-16585,Ken Black,United States,2017,Office Supplies,Supplies,1.93
JK-15730,Joe Kamberova,United States,2015,Office Supplies,Binders,-4.40
RH-19555,Ritsa Hightower,United States,2015,Office Supplies,Binders,-6.03
ZC-21910,Zuschuss Carroll,United States,2017,Office Supplies,Appliances,-5.21
AA-10645,Anna Andreadi,United States,2014,Furniture,Chairs,-4.86
JE-15745,Joel Eaton,United States,2015,Office Supplies,Storage,-18.20
LW-17215,Luke Weiss,United States,2016,Technology,Phones,100.79
SC-20260,Scott Cohen,United States,2014,Office Supplies,Supplies,3.29
KB-16405,Kat rina Bavinger,United States,2017,Office Supplies,Paper,6.22
CA-12775,Cynthia Arntzen,United States,2015,Office Supplies,Binders,10.35
LS-16945,Linda Southworth,United States,2016,Office Supplies,Binders,-1.44
AJ-10795,Anthony Johnson,United States,2016,Office Supplies,Art,0.59
ME-17725,Max Engle,United States,2015,Office Supplies,Binders,5.42
HF-14995,Herbert Flentye,United States,2014,Office Supplies,Paper,9.48
DA-13450,Dianna Arnett,United States,2017,Furniture,Furnishings,15.83
ST-20530,Shui Tom,United States,2015,Office Supplies,Binders,27.01
BD-11620,Brian DeCherney,United States,2016,Technology,Phones,22.68
SC-20050,Sample Company A,United States,2017,Office Supplies,Binders,28.90
JD-15895,Jonathan Doherty,United States,2016,Furniture,Furnishings,7.82
TC-21475,Tony Chapman,United States,2016,Furniture,Furnishings,9.83
JB-15400,Jennifer Braxton,United States,2014,Office Supplies,Labels,6.55
SH-20395,ShahiHopkins,United States,2017,Office Supplies,Supplies,21.04
KD-16495,Keith Dawkins,United States,2015,Office Supplies,Binders,30.70
NF-18385,Natalie Fritzler,United States,2014,Office Supplies,Binders,8.21
ON-18715,Odella Nelson,United States,2016,Technology,Phones,14.00
JL-15235,Janet Lee,United States,2016,Office Supplies,Storage,93.70
JM-15250,Janet Martin,United States,2017,Furniture,Chairs,227.21
TS-21505,NA,United States,2017,Office Supplies,Binders,7.63
DP-13105,Dave Poirier,United States,2017,Office Supplies,Fasteners,1.68
JM-15535,Jessica Myrick,United States,2016,Furniture,Furnishings,207.89
KF-16285,Karen Ferguson,United States,2017,Office Supplies,Storage,13.32
AW-10930,Arthur Wiediger,United States,2017,Office Supplies,Envelopes,7.49
VB-21745,Victo ria Brennan,United States,2015,Office Supplies,Storage,2.37
VF-21715,Vicky Freymann,United States,2014,Office Supplies,Paper,3.18
LP-17095,Liz Preis,United States,2016,Furniture,Furnishings,0.00
PP-18955,Paul Prost,United States,2014,Office Supplies,Art,1.69
DP-13000,Darren Powers,United States,2016,Office Supplies,Binders,-5.18
JD-16060,Julia Dunbar,United States,2017,Office Supplies,Binders,62.70
VM-21685,Valerie Mitchum,United States,2017,Office Supplies,Paper,3.11
JL-15130,Jack Lebron,United States,2017,Technology,Accessories,-4.75
LT-17110,Liz Thompson,United States,2016,Furniture,Tables,0.00
BF-11005,Barry Franz,United States,2017,Office Supplies,Fasteners,3.52
AA-10375,Allen Armold,United States,2016,Technology,Accessories,115.00
AD-10180,Alan Dominguez,United States,2017,Office Supplies,Paper,9.33
SC-20380,ShahiCollister,United States,2017,Office Supplies,Paper,140.60
JA-15970,Joseph Airdo,United States,2016,Office Supplies,Binders,12.67
AD-10180,Alan Dominguez,United States,2017,Technology,Copiers,1379.98
TC-21535,Tracy Collins,United States,2015,Office Supplies,Paper,14.31
TH-21115,Thea Hudgings,United States,2016,Office Supplies,Storage,77.75
HW-14935,Helen Waerman,United States,2016,Office Supplies,Storage,9.99
MB-17305,Maria Bertelson,United States,2015,Office Supplies,Labels,3.34
MS-17710,Maurice Satty,United States,2014,Furniture,Furnishings,2.35
BS-11590,Brendan Sweed,United States,2014,Office Supplies,Binders,-16.68
RW-19690,Robert Waldorf,United States,2017,Office Supplies,Appliances,14.62
RB-19465,Rick Bensley,United States,2014,Furniture,Chairs,45.35
DS-13030,Darrin Sayre,United States,2014,Office Supplies,Art,2.22
MF-18250,Monica Federle,United States,2017,Office Supplies,Paper,20.68
DK-12895,Dana Kaydos,United States,2015,Technology,Phones,223.29
EA-14035,Erin Ashbrook,United States,2016,Furniture,Furnishings,66.54
VT-21700,Valerie Takahito,United States,2014,Office Supplies,Labels,33.00
AS-10090,Adam Shillingsburg,United States,2014,Office Supplies,Art,5.74
BD-11770,Bryan Davis,United States,2016,Technology,Accessories,7.50
DB-13120,David Bremer,United States,2015,Office Supplies,Art,10.79
DB-13360,Dennis Bolton,United States,2015,Office Supplies,Paper,15.61
FP-14320,Frank Preis,United States,2015,Technology,Phones,18.00
CB-12025,Cassandra Brandow,United States,2017,Furniture,Furnishings,11.65
GH-14410,Gary Hansen,United States,2017,Technology,Phones,125.20
LC-17050,Liz Carlisle,United States,2014,Technology,Phones,-10.05
SC-20260,Scott Cohen,United States,2015,Office Supplies,Binders,46.32
AP-10915,Arthur Prichep,United States,2017,Office Supplies,Envelopes,8.86
PK-19075,Pete Kriz,United States,2016,Office Supplies,Binders,7.80
NW-18400,Natalie Webber,United States,2014,Office Supplies,Binders,-7.20
MZ-17335,Maria Zettner,United States,2017,Furniture,Furnishings,9.56
DK-12835,Damala Kotsonis,United States,2017,Technology,Accessories,6.75
HR-14770,Hallie Redmond,United States,2017,Technology,Phones,1.36
PS-18970,Paul Stevenson,United States,2016,Office Supplies,Art,3.44
DC-13285,Debra Catini,United States,2017,Furniture,Furnishings,25.54
MG-18145,Mike Gockenbach,United States,2015,Office Supplies,Storage,-7.27
MS-17710,Maurice Satty,United States,2016,Technology,Accessories,2.00
DW-13540,Don Weiss,United States,2017,Office Supplies,Appliances,33.59
FH-14275,Frank Hawley,United States,2017,Technology,Phones,2.60
IL-15100,Ivan Liston,United States,2016,Office Supplies,Art,1.03
LC-16885,Lena Creighton,United States,2016,Office Supplies,Supplies,18.45
EA-14035,Erin Ashbrook,United States,2016,Technology,Accessories,26.39
ON-18715,Odella Nelson,United States,2016,Technology,Accessories,19.77
DK-12835,Damala Kotsonis,United States,2015,Office Supplies,Binders,3.28
VP-21760,Victoria Pisteka,United States,2014,Office Supplies,Labels,27.49
EH-13990,Erica Hackney,United States,2014,Office Supplies,Paper,6.22
PP-18955,Paul Prost,United States,2016,Furniture,Furnishings,7.16
AJ-10780,Anthony Jacobs,United States,2016,Office Supplies,Binders,-5.70
SP-20650,Stephanie Phelps,United States,2015,Office Supplies,Paper,26.27
MA-17560,Matt Abelman,United States,2015,Office Supplies,Paper,19.24
TS-21505,NA,United States,2017,Furniture,Furnishings,26.60
MH-17785,Maya Herman,United States,2014,Office Supplies,Storage,7.19
SM-20320,Sean Miller,United States,2017,Furniture,Furnishings,31.59
AP-10720,Anne Pryor,United States,2016,Office Supplies,Binders,153.12
MC-17425,Mark Cousins,United States,2016,Office Supplies,Paper,34.78
JE-15745,Joel Eaton,United States,2015,Office Supplies,Appliances,-52.96
NP-18700,Nora Preis,United States,2014,Office Supplies,Paper,44.96
SO-20335,Sean ODonnell,United States,2017,Office Supplies,Supplies,-1.99
BD-11320,Bil Donatelli,United States,2016,Office Supplies,Storage,3.05
CB-12535,Claudia Bergmann,United States,2015,Furniture,Chairs,81.26
LP-17095,Liz Preis,United States,2017,Technology,Accessories,-1.12
MO-17800,Meg OConnel,United States,2016,Technology,Phones,5.50
AJ-10795,Anthony Johnson,United States,2016,Furniture,Chairs,307.14
MZ-17335,Maria Zettner,United States,2015,Technology,Accessories,66.95
BW-11110,Bart Watters,United States,2015,Technology,Phones,39.00
CB-12025,Cassandra Brandow,United States,2015,Office Supplies,Binders,13.96
SP-20860,Sung Pak,United States,2015,Office Supplies,Paper,17.31
JG-15160,James Galang,United States,2017,Furniture,Chairs,-44.28
DB-12970,Darren Budd,United States,2015,Office Supplies,Binders,20.72
BP-11290,Beth Paige,United States,2017,Furniture,Tables,-1.78
JD-15895,Jonathan Doherty,United States,2016,Office Supplies,Storage,282.21
CK-12205,Chloris Kastensmidt,United States,2016,Technology,Phones,-115.35
AW-10930,Arthur Wiediger,United States,2016,Office Supplies,Appliances,-160.96
GH-14410,Gary Hansen,United States,2016,Office Supplies,Binders,-7.92
PP-18955,Paul Prost,United States,2016,Office Supplies,Paper,1.68
EA-14035,Erin Ashbrook,United States,2014,Office Supplies,Binders,-17.94
PS-18760,Pamela Stobb,United States,2015,Technology,Machines,-79.91
SB-20185,Sarah Brown,United States,2015,Technology,Copiers,485.99
JO-15145,Jack OBriant,United States,2017,Technology,Phones,34.74
EB-14170,Evan Bailliet,United States,2016,Office Supplies,Labels,4.44
RP-19855,Roy Phan,United States,2015,Technology,Accessories,26.59
TB-21400,Tom Boeckenhauer,United States,2014,Office Supplies,Binders,20.12
EH-13945,Eric Hoffmann,United States,2016,Technology,Accessories,11.77
AH-10075,Adam Hart,United States,2015,Office Supplies,Art,0.34
BP-11095,Bart Pistole,United States,2017,Technology,Accessories,-10.80
RM-19375,Raymond Messe,United States,2014,Technology,Accessories,7.62
FM-14215,Filia McAdams,United States,2014,Technology,Phones,164.63
NF-18475,Neil Franzsisch,United States,2016,Office Supplies,Binders,-18.84
TS-21505,NA,United States,2014,Furniture,Chairs,74.57
SN-20560,Skye Norling,United States,2016,Office Supplies,Binders,3.77
RM-19675,Robert Marley,United States,2017,Office Supplies,Binders,33.93
FH-14275,Frank Hawley,United States,2016,Office Supplies,Binders,8.69
AG-10765,Anthony Garverick,United States,2015,Office Supplies,Binders,56.55
ND-18370,Natalie DeCherney,United States,2015,Furniture,Chairs,321.84
PJ-18835,Patrick Jones,United States,2015,Office Supplies,Envelopes,16.98
RH-19495,Rick Hansen,United States,2017,Office Supplies,Paper,7.26
SC-20725,Steven Cartwright,United States,2015,Office Supplies,Labels,4.23
BF-11020,Barry Franzsisch,United States,2016,Furniture,Tables,15.35
PO-18850,Patrick OBrill,United States,2015,Office Supplies,Storage,10.45
GW-14605,Giulietta Weimer,United States,2017,Technology,Accessories,11.77
RW-19690,Robert Waldorf,United States,2017,Office Supplies,Appliances,7.25
BD-11500,Bradley Drucker,United States,2015,Office Supplies,Appliances,56.35
GT-14635,Grant Thornton,United States,2014,Office Supplies,Binders,50.47
YC-21895,Yoseph Carroll,United States,2014,Office Supplies,Storage,792.27
TG-21640,Trudy Glocke,United States,2015,Technology,Phones,8.77
AJ-10795,Anthony Johnson,United States,2016,Technology,Phones,5.18
KS-16300,Karen Seio,United States,2015,Office Supplies,Labels,4.81
DM-12955,Dario Medina,United States,2016,Office Supplies,Art,1.18
KL-16555,Kelly Lampkin,United States,2014,Furniture,Tables,-18.56
TH-21100,Thea Hendricks,United States,2014,Technology,Phones,-250.40
AP-10915,Arthur Prichep,United States,2016,Office Supplies,Binders,51.82
TS-21205,Thomas Seio,United States,2014,Furniture,Furnishings,37.64
CS-12250,Chris Selesnick,United States,2015,Office Supplies,Envelopes,2.15
NC-18625,Noah Childs,United States,2016,Furniture,Furnishings,4.37
CB-12415,Christy Brittain,United States,2016,Office Supplies,Binders,-3.60
MN-17935,Michael Nguyen,United States,2017,Office Supplies,Storage,-63.01
LS-16945,Linda Southworth,United States,2017,Office Supplies,Binders,-17.66
DB-13660,Duane Benoit,United States,2014,Technology,Machines,31.01
EN-13780,Edward Nazzal,United States,2015,Office Supplies,Appliances,45.00
JO-15550,Jesus Ocampo,United States,2017,Office Supplies,Fasteners,1.00
SH-19975,NA,United States,2016,Technology,Accessories,48.00
BF-11020,Barry Franzsisch,United States,2017,Furniture,Furnishings,-12.00
BF-11020,Barry Franzsisch,United States,2017,Office Supplies,Paper,10.00
TC-21475,Tony Chapman,United States,2017,Office Supplies,Binders,-54.00
BF-11080,Bart Folk,United States,2017,Office Supplies,Paper,10.00
PW-19240,Pierre Wener,United States,2014,Office Supplies,Paper,13.00
BP-11230,Benjamin Patterson,United States,2016,Office Supplies,Paper,3.00
AR-10825,Anthony Rawles,United States,2016,Technology,Accessories,32.00
AR-10405,Allen Rosenblatt,United States,2014,Furniture,Chairs,14.00
JK-15205,Jamie Kunitz,United States,2015,Technology,Phones,562.00
DW-13195,David Wiener,United States,2016,Technology,Phones,46.00
MG-17890,Michael Granlund,United States,2016,Furniture,Bookcases,21.00
MM-17920,Michael Moore,United States,2014,Office Supplies,Paper,6.00
SZ-20035,Sam Zeldin,United States,2017,Furniture,Tables,-104.00
CB-12025,Cassandra Brandow,United States,2017,Office Supplies,Envelopes,1.65
HH-15010,Hilary Holden,United States,2017,Furniture,Tables,-3.35
EB-13705,Ed Braxton,United States,2014,Office Supplies,Binders,68.85
MS-17365,Maribeth chnelling,United States,2015,Technology,Phones,11.20
MC-17575,Matt Collins,United States,2017,Office Supplies,Appliances,4.52
PO-18850,Patrick OBrill,United States,2017,Office Supplies,Paper,20.59
RB-19330,Randy Bradley,United States,2017,Office Supplies,Storage,1.20
RS-19420,Ricardo Sperren,United States,2017,Furniture,Tables,80.37
SU-20665,Stephanie Ulpright,United States,2016,Office Supplies,Supplies,3.51
AG-10495,Andrew Gjertsen,United States,2015,Office Supplies,Paper,5.44
NC-18340,Nat Carroll,United States,2015,Technology,Phones,0.44
CC-12610,Corey Catlett,United States,2016,Office Supplies,Binders,-1.29
BM-11650,Brian Moss,United States,2017,Office Supplies,Storage,95.46
SC-20575,Sonia Cooley,United States,2017,Office Supplies,Binders,48.38
TZ-21580,Tracy Zic,United States,2014,Furniture,Chairs,75.49
LB-16795,Laurel Beltran,United States,2017,Technology,Accessories,87.99
AG-10675,Anna Gayman,United States,2016,Office Supplies,Storage,3.60
TB-21400,Tom Boeckenhauer,United States,2017,Office Supplies,Storage,1.03
KH-16630,Ken Heidel,United States,2017,Office Supplies,Paper,10.73
RM-19750,Roland Murray,United States,2017,Office Supplies,Paper,12.13
LO-17170,Lori Olson,United States,2015,Technology,Accessories,18.06
CS-12355,Christine Sundaresam,United States,2014,Office Supplies,Appliances,17.13
AI-10855,Arianne Irving,United States,2017,Office Supplies,Paper,3.21
MC-17845,Michael Chen,United States,2017,Office Supplies,Appliances,112.22
CY-12745,Craig Yedwab,United States,2015,Furniture,Furnishings,46.63
DE-13255,NA,United States,2015,Office Supplies,Paper,27.88
AG-10495,Andrew Gjertsen,United States,2015,Office Supplies,Art,0.33
JE-15745,Joel Eaton,United States,2017,Furniture,Furnishings,20.73
RD-19720,Roger Demir,United States,2016,Office Supplies,Storage,7.31
NC-18415,Nathan Cano,United States,2016,Office Supplies,Paper,14.68
DB-13210,Dean Braden,United States,2017,Office Supplies,Paper,79.89
RW-19540,Rick Wi lson,United States,2015,Office Supplies,Paper,31.27
BW-11110,Bart Watters,United States,2016,Furniture,Furnishings,-32.32
MC-17575,Matt Collins,United States,2017,Office Supplies,Binders,-4.00
LC-17140,Logan Currie,United States,2014,Technology,Accessories,-5.00
JW-16075,Julia West,United States,2015,Office Supplies,Binders,-10.00
AH-10075,Adam Hart,United States,2017,Office Supplies,Paper,10.00
NL-18310,Nancy Lomonaco,United States,2017,Office Supplies,Fasteners,0.00
AH-10120,Adrian Hane,United States,2017,Office Supplies,Binders,48.00
ME-17725,Max Engle,United States,2017,Office Supplies,Art,45.00
EH-14005,Erica Hernandez,United States,2014,Office Supplies,Paper,81.00
JE-15715,Joe Elijah,United States,2014,Office Supplies,Binders,-20.00
GW-14605,Giulietta Weimer,United States,2016,Office Supplies,Binders,2.61
TC-21295,Toby Carlisle,United States,2017,Office Supplies,Paper,79.89
KF-16285,Karen Ferguson,United States,2017,Office Supplies,Appliances,10.49
JM-15865,John Murray,United States,2016,Furniture,Chairs,-17.75
RP-19270,Rachel Payne,United States,2014,Technology,Phones,11.76
LB-16795,Laurel Beltran,United States,2016,Office Supplies,Envelopes,11.23
SC-20260,Scott Cohen,United States,2014,Office Supplies,Paper,2.14
SC-20770,Stewart Carmichael,United States,2016,Technology,Phones,-116.98
AG-10525,Andy Gerbode,United States,2015,Office Supplies,Binders,2.06
MK-17905,Michael Kennedy,United States,2017,Office Supplies,Binders,11.71
KB-16315,Karl Braun,United States,2017,Technology,Copiers,60.00
AW-10840,Anth ony Witt,United States,2015,Office Supplies,Supplies,0.39
KH-16510,Keith Herrera,United States,2017,Office Supplies,Labels,13.61
SC-20095,Sanjit Chand,United States,2015,Office Supplies,Binders,28.65
LP-17095,Liz Preis,United States,2017,Office Supplies,Supplies,2.77
SC-20770,Stewart Carmichael,United States,2015,Technology,Phones,47.24
AS-10285,Alejandro Savely,United States,2016,Office Supplies,Paper,25.48
JM-15535,Jessica Myrick,United States,2017,Office Supplies,Paper,15.55
SH-19975,NA,United States,2014,Office Supplies,Paper,12.44
HM-14980,Henry MacAllister,United States,2017,Furniture,Furnishings,39.08
TB-21250,Tim Brockman,United States,2016,Furniture,Bookcases,7.77
BE-11335,Bil Eplett,United States,2016,Office Supplies,Envelopes,7.07
DO-13435,Denny Ordway,United States,2015,Office Supplies,Art,0.72
MP-17470,Mark Packer,United States,2015,Technology,Phones,20.09
ES-14080,Erin Smith,United States,2017,Office Supplies,Storage,9.56
RH-19495,Rick Hansen,United States,2015,Technology,Accessories,762.18
FP-14320,Frank Preis,United States,2015,Furniture,Tables,-45.29
SS-20410,ShahiShariari,United States,2017,Office Supplies,Binders,1.36
MP-18175,Mike Pelletier,United States,2017,Office Supplies,Paper,27.88
BD-11725,Bruce Degenhardt,United States,2017,Furniture,Furnishings,4.44
TT-21070,Ted Trevino,United States,2017,Office Supplies,Labels,4.23
DB-13360,Dennis Bolton,United States,2017,Office Supplies,Storage,71.54
DH-13075,Dave Hallsten,United States,2017,Office Supplies,Paper,12.83
MT-18070,Michelle Tran,United States,2016,Office Supplies,Paper,15.55
AW-10930,Arthur Wiediger,United States,2017,Office Supplies,Binders,2.17
JD-16150,Justin Deggeller,United States,2015,Furniture,Furnishings,15.63
JO-15550,Jesus Ocampo,United States,2015,Office Supplies,Labels,17.76
CC-12430,Chuck Clark,United States,2017,Technology,Accessories,67.00
NS-18640,Noel Staavos,United States,2016,Furniture,Tables,-148.00
JE-15610,Jim Epp,United States,2015,Furniture,Furnishings,7.00
MH-17290,Marc Harrigan,United States,2017,Furniture,Furnishings,133.00
SN-20560,Skye Norling,United States,2015,Office Supplies,Appliances,30.00
AM-10705,Anne McFarland,United States,2017,Furniture,Bookcases,70.00
KA-16525,Kelly Andreada,United States,2017,Office Supplies,Art,10.00
TM-21010,Tamara Manning,United States,2015,Office Supplies,Fasteners,1.00
SW-20275,Scott Williamson,United States,2014,Office Supplies,Paper,11.00
KM-16660,Khloe Miller,United States,2014,Office Supplies,Art,3.00
SS-20140,Saphhira Shifley,United States,2017,Office Supplies,Supplies,10.00
MH-18025,Michelle Huthwaite,United States,2017,Office Supplies,Binders,-3.00
AG-10495,Andrew Gjertsen,United States,2017,Office Supplies,Paper,6.00
SC-20020,Sam Craven,United States,2014,Office Supplies,Paper,4.08
KM-16225,Kalyca Meade,United States,2015,Furniture,Chairs,141.00
AH-10465,Amy Hunt,United States,2017,Technology,Phones,135.00
MK-17905,Michael Kennedy,United States,2016,Office Supplies,Binders,-730.00
